SNR,Atten,Speed,Trial,NoDefense,Defense,Latency(ms)
999,0,1.0,0,True,False,64.0
999,0,1.0,1,True,False,64.0
999,0,0.95,0,True,False,64.0
999,0,0.95,1,True,False,64.0
999,0,1.05,0,True,False,64.0
999,0,1.05,1,True,False,64.0
999,-3,1.0,0,True,False,64.0
999,-3,1.0,1,True,False,64.0
999,-3,0.95,0,True,False,64.0
999,-3,0.95,1,True,False,64.0
999,-3,1.05,0,True,False,64.0
999,-3,1.05,1,True,False,64.0
999,-6,1.0,0,True,False,64.0
999,-6,1.0,1,True,False,64.0
999,-6,0.95,0,True,False,64.0
999,-6,0.95,1,True,False,64.0
999,-6,1.05,0,True,False,64.0
999,-6,1.05,1,True,False,64.0
999,-12,1.0,0,True,False,64.0
999,-12,1.0,1,True,False,64.0
999,-12,0.95,0,True,False,64.0
999,-12,0.95,1,True,False,64.0
999,-12,1.05,0,True,False,64.0
999,-12,1.05,1,True,False,64.0
20,0,1.0,0,True,False,64.0
20,0,1.0,1,True,False,64.0
20,0,0.95,0,True,True,64.0
20,0,0.95,1,True,True,64.0
20,0,1.05,0,True,False,64.0
20,0,1.05,1,True,False,64.0
20,-3,1.0,0,True,False,64.0
20,-3,1.0,1,True,False,64.0
20,-3,0.95,0,True,True,64.0
20,-3,0.95,1,True,True,64.0
20,-3,1.05,0,True,False,64.0
20,-3,1.05,1,True,False,64.0
20,-6,1.0,0,True,False,64.0
20,-6,1.0,1,True,False,64.0
20,-6,0.95,0,True,True,64.0
20,-6,0.95,1,True,True,64.0
20,-6,1.05,0,True,False,64.0
20,-6,1.05,1,True,False,64.0
20,-12,1.0,0,True,False,64.0
20,-12,1.0,1,True,False,64.0
20,-12,0.95,0,True,True,64.0
20,-12,0.95,1,True,True,64.0
20,-12,1.05,0,True,False,64.0
20,-12,1.05,1,True,False,64.0
15,0,1.0,0,True,False,64.0
15,0,1.0,1,True,False,64.0
15,0,0.95,0,True,True,64.0
15,0,0.95,1,True,True,64.0
15,0,1.05,0,True,False,64.0
15,0,1.05,1,True,False,64.0
15,-3,1.0,0,True,False,64.0
15,-3,1.0,1,True,False,64.0
15,-3,0.95,0,True,True,64.0
15,-3,0.95,1,True,True,64.0
15,-3,1.05,0,True,False,64.0
15,-3,1.05,1,True,False,64.0
15,-6,1.0,0,True,False,64.0
15,-6,1.0,1,True,False,64.0
15,-6,0.95,0,True,True,64.0
15,-6,0.95,1,True,True,64.0
15,-6,1.05,0,True,False,64.0
15,-6,1.05,1,True,False,64.0
15,-12,1.0,0,True,False,64.0
15,-12,1.0,1,True,False,64.0
15,-12,0.95,0,True,True,64.0
15,-12,0.95,1,True,True,64.0
15,-12,1.05,0,True,False,64.0
15,-12,1.05,1,True,False,64.0
10,0,1.0,0,True,False,64.0
10,0,1.0,1,True,False,64.0
10,0,0.95,0,True,True,64.0
10,0,0.95,1,True,True,64.0
10,0,1.05,0,True,False,64.0
10,0,1.05,1,True,False,64.0
10,-3,1.0,0,True,False,64.0
10,-3,1.0,1,True,False,64.0
10,-3,0.95,0,True,True,64.0
10,-3,0.95,1,True,True,64.0
10,-3,1.05,0,True,False,64.0
10,-3,1.05,1,True,False,64.0
10,-6,1.0,0,True,False,64.0
10,-6,1.0,1,True,False,64.0
10,-6,0.95,0,True,True,64.0
10,-6,0.95,1,True,True,64.0
10,-6,1.05,0,True,False,64.0
10,-6,1.05,1,True,False,64.0
10,-12,1.0,0,True,False,64.0
10,-12,1.0,1,True,False,64.0
10,-12,0.95,0,True,True,64.0
10,-12,0.95,1,True,True,64.0
10,-12,1.05,0,True,False,64.0
10,-12,1.05,1,True,False,64.0
5,0,1.0,0,False,False,64.0
5,0,1.0,1,False,False,64.0
5,0,0.95,0,True,True,64.0
5,0,0.95,1,True,True,64.0
5,0,1.05,0,True,False,64.0
5,0,1.05,1,True,False,64.0
5,-3,1.0,0,True,False,64.0
5,-3,1.0,1,True,False,64.0
5,-3,0.95,0,True,True,64.0
5,-3,0.95,1,True,True,64.0
5,-3,1.05,0,True,False,64.0
5,-3,1.05,1,True,False,64.0
5,-6,1.0,0,True,False,64.0
5,-6,1.0,1,True,False,64.0
5,-6,0.95,0,True,True,64.0
5,-6,0.95,1,True,True,64.0
5,-6,1.05,0,True,False,64.0
5,-6,1.05,1,True,False,64.0
5,-12,1.0,0,True,False,64.0
5,-12,1.0,1,True,False,64.0
5,-12,0.95,0,True,True,64.0
5,-12,0.95,1,True,True,64.0
5,-12,1.05,0,True,False,64.0
5,-12,1.05,1,True,False,64.0
