snr,atten_db,trial,success_no_defense,success_with_defense,score_no_defense,score_with_defense
999,0,0,False,False,0.0,0.0
999,0,1,False,False,0.0,0.0
999,0,2,False,False,0.0,0.0
999,-3,0,False,False,0.0,0.0
999,-3,1,False,False,0.0,0.0
999,-3,2,False,False,0.0,0.0
999,-6,0,False,False,0.0,0.0
999,-6,1,False,False,0.0,0.0
999,-6,2,False,False,0.0,0.0
999,-12,0,False,False,0.0,0.0
999,-12,1,False,False,0.0,0.0
999,-12,2,False,False,0.0,0.0
20,0,0,False,False,0.0,0.0
20,0,1,False,False,0.0,0.0
20,0,2,False,False,0.0,0.0
20,-3,0,False,False,0.0,0.0
20,-3,1,False,False,0.0,0.0
20,-3,2,False,False,0.0,0.0
20,-6,0,False,False,0.0,0.0
20,-6,1,False,False,0.0,0.0
20,-6,2,False,False,0.0,0.0
20,-12,0,False,False,0.0,0.0
20,-12,1,False,False,0.0,0.0
20,-12,2,False,False,0.0,0.0
15,0,0,False,False,0.0,0.0
15,0,1,False,False,0.0,0.0
15,0,2,False,False,0.0,0.0
15,-3,0,False,False,0.0,0.0
15,-3,1,False,False,0.0,0.0
15,-3,2,False,False,0.0,0.0
15,-6,0,False,False,0.0,0.0
15,-6,1,False,False,0.0,0.0
15,-6,2,False,False,0.0,0.0
15,-12,0,False,False,0.0,0.0
15,-12,1,False,False,0.0,0.0
15,-12,2,False,False,0.0,0.0
10,0,0,False,False,0.0,0.0
10,0,1,False,False,0.0,0.0
10,0,2,False,False,0.0,0.0
10,-3,0,False,False,0.0,0.0
10,-3,1,False,False,0.0,0.0
10,-3,2,False,False,0.0,0.0
10,-6,0,False,False,0.0,0.0
10,-6,1,False,False,0.0,0.0
10,-6,2,False,False,0.0,0.0
10,-12,0,False,False,0.0,0.0
10,-12,1,False,False,0.0,0.0
10,-12,2,False,False,0.0,0.0
5,0,0,False,False,0.0,0.0
5,0,1,False,False,0.0,0.0
5,0,2,False,False,0.0,0.0
5,-3,0,False,False,0.0,0.0
5,-3,1,False,False,0.0,0.0
5,-3,2,False,False,0.0,0.0
5,-6,0,False,False,0.0,0.0
5,-6,1,False,False,0.0,0.0
5,-6,2,False,False,0.0,0.0
5,-12,0,False,False,0.0,0.0
5,-12,1,False,False,0.0,0.0
5,-12,2,False,False,0.0,0.0
